V,T5,TA,TB,SEQV_B1,EPTOEQV_B1,SEQV_D,EPTOEQV_D,DOF_27387,DOF_88479
1032.038395,671.0519514,234.0449463,496.1364965,720.2015079,0.004459613,958.3835482,0.005851621,1.001318026,0.307697758
1012.256003,666.7969443,227.523859,499.4325366,719.3106865,0.004459881,942.4973933,0.005758044,0.989270191,0.30093013
1042.604461,630.1427297,237.7392049,503.0500041,699.1108962,0.004339157,948.9827093,0.005807712,0.998139689,0.324392054
991.1772671,689.3797607,226.1096358,495.2023344,726.4926722,0.004498323,933.1747677,0.005693139,0.98513954,0.287653272
974.1053497,662.4961932,226.7986207,488.2906101,690.4747908,0.004264302,893.0586694,0.005441875,0.95815928,0.275283139
995.6517751,666.0627029,226.6033927,505.2810535,719.7594991,0.004473124,933.9076664,0.005715402,0.988089259,0.303299701
986.5654851,674.1400178,229.3564843,498.1334444,713.9434452,0.004425388,921.0124974,0.005625106,0.982161242,0.293466757
1019.031738,663.0337913,234.2672619,502.1565778,716.9198038,0.004449404,945.363768,0.005782726,0.999270132,0.312439981
1017.110545,654.6170651,230.5949171,508.5860449,720.6938696,0.004483576,946.9543331,0.00580255,0.998897639,0.31751033
1058.143544,661.5813433,229.3639377,484.6270215,707.5204187,0.004362717,969.6419109,0.005906246,0.990992596,0.296298538
1040.90492,662.8601761,233.5048034,489.8450772,707.8754422,0.00437324,958.8806921,0.005845765,0.993524169,0.301663975
1010.355637,669.3002771,237.8637794,490.1830956,701.2726727,0.004333368,929.2351805,0.005665875,0.987669483,0.297050255
1006.758323,686.0481945,236.559328,495.1103461,720.597069,0.004461303,939.7253014,0.005736682,0.998703608,0.300971031
999.6379814,671.0715159,220.0203403,522.275899,755.9336696,0.004728379,968.8510795,0.005957925,1.006422036,0.321139769
1043.755327,655.2937109,227.9047668,511.3902815,736.0606395,0.004583097,976.6937702,0.005989034,1.011524422,0.326494155
1030.852729,685.8050201,235.9246566,513.1478295,750.9231167,0.004679813,978.8137269,0.006008165,1.029347414,0.331392298
1025.601094,654.8306507,231.5156668,498.2049008,709.9407171,0.004399231,945.3163676,0.005774525,0.991234353,0.306854751
1048.733943,652.9504247,224.4106887,515.3593408,743.4699589,0.004635972,986.1404424,0.006053056,1.014248818,0.330250703
1011.92696,652.2754594,232.0175482,514.717451,723.0271611,0.004508803,949.4497795,0.005829277,1.0040709,0.325577721
981.8297378,652.6881227,229.4921346,493.9620442,690.3401088,0.004272172,902.1268841,0.005502629,0.965479315,0.287385012
1014.41572,652.9080879,229.9069114,486.0716319,690.4864703,0.004259663,921.355949,0.005613155,0.970232562,0.286356604
1022.095168,658.4571084,232.2675313,511.4421213,727.5756145,0.004531206,955.8027786,0.005862505,1.00757905,0.324116497
1020.720861,666.1085548,233.9495654,496.3017685,712.7132273,0.004413665,944.3759995,0.005766295,0.99429807,0.304749337
1027.873346,654.1524907,232.4977503,476.0332669,679.0872394,0.004174627,919.4540255,0.005593954,0.967230764,0.279182039
970.7596374,658.1438076,232.286826,487.3844968,680.7726502,0.004203029,884.1915128,0.005387981,0.958278266,0.277968023
988.6813356,662.0932204,230.1030479,504.1863167,710.7361365,0.004415376,923.1361182,0.00564876,0.985069684,0.303075321
993.9795458,680.9007921,231.4008285,494.0585544,714.983884,0.004424982,927.367467,0.005657533,0.985358514,0.291682441
999.6980163,653.4874035,228.4711778,512.3143687,720.6288532,0.004490272,939.5351392,0.005762896,0.993694287,0.315792202
1014.038967,665.8566822,226.4410961,486.0908715,703.3861351,0.004339512,929.3496453,0.005661307,0.973300493,0.283000893
1022.142392,684.279659,223.6851968,505.4801008,746.7451128,0.004640474,968.2356774,0.005924898,1.005480358,0.307953026
1058.877452,653.8352221,225.9379256,510.0773094,740.0794407,0.004605324,990.0278487,0.006067685,1.014218914,0.327470937
1009.510053,681.51666,232.1375703,506.120044,734.8748233,0.004568243,951.1850707,0.005824625,1.006765845,0.312668469
1037.491842,675.0088439,230.8499942,501.9342321,734.7248545,0.004559213,971.3066917,0.005939883,1.009540669,0.31406868
1002.747159,659.1075707,231.2484851,492.930612,699.2200278,0.00432496,922.6901905,0.005627096,0.977302358,0.293095889
1006.970134,676.6065876,228.0125531,491.9580914,715.6282865,0.00442503,935.9134976,0.005706401,0.983432907,0.289734596
999.450149,681.1561741,232.9089321,510.6226299,734.4626792,0.004573897,947.3927827,0.005809649,1.008373951,0.316593212
1025.073132,679.6279237,233.2814345,503.0674146,733.6952824,0.004555201,961.2293752,0.005881099,1.009835754,0.314034533
1007.355947,671.8747669,225.6690467,495.8997557,718.6624292,0.004450188,939.1592275,0.005730822,0.983974911,0.293172965
994.9764694,667.0228037,230.4967815,501.6840836,714.2291237,0.004432731,927.1684364,0.005669248,0.987355563,0.301675109
1015.391723,629.3943436,226.5226294,496.348291,688.8737752,0.004265491,923.5380251,0.005636546,0.968820486,0.297930643
1013.427006,648.1876441,227.5750743,506.3029349,714.0182067,0.004438204,939.6200594,0.005752524,0.989130458,0.310959693
1014.144185,672.8344516,226.9258648,497.2475017,722.3558285,0.00447515,946.266196,0.005777034,0.989863576,0.297892125
1023.967087,670.4629424,231.2757816,487.0364544,707.2421818,0.004365093,942.514477,0.005743168,0.984720869,0.290994235
993.9075617,641.1371287,226.4546313,479.674594,669.8508123,0.004122806,884.8367187,0.005385017,0.946157189,0.269753649
1023.440656,635.4740207,231.4954318,497.1927673,693.512103,0.004295514,932.1899973,0.00569256,0.980152926,0.305423333
1023.225098,646.7491367,228.7683058,496.7997916,703.3551137,0.004356013,939.2204517,0.005733871,0.982518194,0.302172061
1011.602959,641.6790127,233.4428068,506.6615028,704.5486094,0.00437995,931.7244439,0.005706817,0.990800109,0.316261486
1003.884881,677.2794894,230.3821343,513.8000683,739.7526773,0.004612263,955.2098794,0.005862415,1.009921631,0.319947626
1012.536098,654.0326209,226.8892033,505.0212788,716.933104,0.004454285,940.9021549,0.005757881,0.989399796,0.308242336
1038.436268,683.7876107,234.2885032,497.7294103,733.726807,0.004546109,973.3676703,0.005946131,1.01214429,0.311506534
1007.597041,675.3012095,230.6625427,514.1446942,739.1776766,0.004609026,957.3590654,0.005876332,1.011177379,0.32174614
1015.502219,660.3643488,231.109905,491.5438727,702.7610318,0.004344335,933.6136021,0.00569257,0.981473715,0.294677797
1020.967192,638.9611455,230.5150187,501.6116032,701.5951508,0.004352887,935.7578961,0.0057217,0.985045788,0.30964511
1016.978412,655.3147807,229.4478165,511.0753168,723.4526954,0.004504973,950.9778681,0.005831245,1.001096818,0.319773641
1022.372132,634.4581239,223.1697919,503.840469,707.1803023,0.004391033,940.3783702,0.005751322,0.979985813,0.306805778
1062.103203,657.6756019,232.8674078,504.1376412,731.012612,0.004539117,988.1214848,0.006047602,1.016429434,0.326433271
991.8679811,651.40208,224.928404,493.4687575,695.2310801,0.004301274,911.918743,0.005560695,0.96461662,0.28564051
959.6058979,654.5143245,226.4685361,518.8099003,719.8452658,0.004497595,921.8037326,0.005664715,0.9840534,0.311734649
